PNR,Complaint,Department
,The coach had a leaking roof and water was dripping inside,Cleanliness & Housekeeping
,The staff was not able to provide accurate information about the train s location,Staff Behavior & Customer Service
,There was a power outage at the station for a long time,Station Management & Infrastructure
,The train was overcrowded and it was difficult to even stand,Security & Rpf
,The Tatkal booking window opens late on the website,Commercial & Ticketing
,The AC was not cooling the coach effectively,Technical Maintenance (Coach)
,The train was stopped because of a cattle run over incident,Operations & Scheduling
,The food was served in a broken plate,Catering & Food Quality
,The toilet was so dirty that it was a health hazard,Cleanliness & Housekeeping
,The staff was not wearing a name badge so I couldn t identify them,Staff Behavior & Customer Service
,The train was left unattended in the yard for hours with passengers inside,Security & Rpf
,The station did not have a proper feedback or complaint box,Station Management & Infrastructure
,The website does not provide clear information about luggage allowance,Commercial & Ticketing
,The charging point sparked when I tried to plug in my charger,Technical Maintenance (Coach)
,The train was late and I missed an important exam,Operations & Scheduling
,The food served had too much artificial coloring,Catering & Food Quality
,The coach had a strange chemical smell,Cleanliness & Housekeeping
,The staff was not helpful in locating my seat,Staff Behavior & Customer Service
,The train stopped at a station that was not on its route,Security & Rpf
,The station did not have a May I Help You desk,Station Management & Infrastructure
,The website showed a 50 discount but it was not applied at checkout,Commercial & Ticketing
,The berth was not cleaned after the previous passenger deboarded,Cleanliness & Housekeeping
,The door was making a loud noise every time it was opened or closed,Technical Maintenance (Coach)
,The train was delayed due to a signal problem ahead,Operations & Scheduling
,The curd served was past its expiry date,Catering & Food Quality
,The coach was not fumigated and there were a lot of mosquitoes,Cleanliness & Housekeeping
,The staff was not aware of the rules regarding ticket upgrades,Staff Behavior & Customer Service
,The security check at the station was very lax,Security & Rpf
,The station did not have a designated area for app based cab pickups,Station Management & Infrastructure
,The booking history on my account is not showing all my past trips,Commercial & Ticketing
,The water tap was running continuously wasting a lot of water,Technical Maintenance (Coach)
,The train was delayed due to a public protest on the tracks,Operations & Scheduling
,The food was not covered properly and was exposed to dust,Catering & Food Quality
,The liquid soap in the toilet was of very poor quality,Cleanliness & Housekeeping
,The staff was not able to provide change for payment,Staff Behavior & Customer Service
,A passenger was drunk and creating a scene in the coach,Security & Rpf
,The station did not have clear signs for the different platforms,Station Management & Infrastructure
,The website is not accessible for visually impaired people,Commercial & Ticketing
,The seat was not properly fixed and was wobbling,Technical Maintenance (Coach)
,The train was late due to a delay in the arrival of the preceding train,Operations & Scheduling
,The food was delivered to the wrong seat,Catering & Food Quality
,The coach was not cleaned even after a formal complaint was lodged,Cleanliness & Housekeeping
,The staff was sleeping in the passenger area,Staff Behavior & Customer Service
,The RPF helpline number was not working,Security & Rpf
,The station did not have a pharmacy or medical store,Station Management & Infrastructure
,The website does not allow modification of the passenger s name,Commercial & Ticketing
,The window was leaking rainwater into the coach,Technical Maintenance (Coach)
,The train was late by 12 hours and no alternative was provided,Operations & Scheduling
,The food served was not the same as advertised,Catering & Food Quality
,The coach had a spider web in the corner,Cleanliness & Housekeeping
,The staff was not wearing a mask during the pandemic,Staff Behavior & Customer Service
,The security personnel were asking for bribes,Security & Rpf
,The station did not have proper facilities for mothers with infants,Station Management & Infrastructure
,The fare details on the website were confusing and misleading,Commercial & Ticketing
,The push back mechanism of the seat was broken,Technical Maintenance (Coach)
,The train was delayed and the staff gave false assurances about its departure,Operations & Scheduling
,The food was not handled hygienically by the pantry staff,Catering & Food Quality
,The coach was not cleaned properly,Cleanliness & Housekeeping
,The staff was not able to answer basic questions about the train,Staff Behavior & Customer Service
,The security check was a mere formality and not done properly,Security & Rpf
,The station did not have a lost and found department,Station Management & Infrastructure
,The website does not support international credit cards for booking,Commercial & Ticketing
,The main light in the coach was flickering causing a headache,Technical Maintenance (Coach)
,The train s horn was excessively loud near residential areas at night,Operations & Scheduling
,The water bottle provided was not sealed properly,Catering & Food Quality
,The staff was not maintaining social distancing norms,Staff Behavior & Customer Service
,The station did not have any functional clocks,Station Management & Infrastructure
,The online ticket had a different seat number than the one on the chart,Commercial & Ticketing
,The coach was not ventilated properly and felt suffocating,Technical Maintenance (Coach)
,The train s arrival on the platform was very jerky and sudden,Operations & Scheduling
,The dal served in the meal was watery and tasteless,Catering & Food Quality
,The washroom was not accessible for disabled passengers,Cleanliness & Housekeeping
,The staff was not enforcing the no spitting rule,Staff Behavior & Customer Service
,There was no RPF presence at a small remote station,Security & Rpf
,The waiting room was closed for cleaning during peak hours,Station Management & Infrastructure
,The website is very slow to load during peak booking hours,Commercial & Ticketing
,The mobile charging unit was giving an electric shock,Technical Maintenance (Coach)
,The train was delayed due to a political rally on the tracks,Operations & Scheduling
,The food was served in a plastic container that was not food grade,Catering & Food Quality
,The coach had a lot of graffiti on the walls,Cleanliness & Housekeeping
,The staff did not help a passenger who had a medical emergency,Staff Behavior & Customer Service
,The security of the luggage van seems very weak,Security & Rpf
,The station did not have a proper parking facility for two wheelers,Station Management & Infrastructure
,The website requires too many steps to book a single ticket,Commercial & Ticketing
,The bio toilet was not working and was overflowing,Technical Maintenance (Coach)
,The train s coach composition was changed without any prior information,Operations & Scheduling
,The food was not fresh and was probably leftover from the previous day,Catering & Food Quality
,The coach was not cleaned after a passenger vomited,Cleanliness & Housekeeping
,The staff was not trained to use the card payment machine,Staff Behavior & Customer Service
,The CCTV cameras in the coach were not working,Security & Rpf
,The station did not have a proper shelter for passengers waiting for auto rickshaws,Station Management & Infrastructure
,The website does not have a save passenger details feature,Commercial & Ticketing
,The coach s suspension was very bad making the ride bumpy,Technical Maintenance (Coach)
,The train was running late but the staff provided false information that it was on time,Operations & Scheduling
,The food was served without a proper tray,Catering & Food Quality
,The coach was full of dust and cobwebs,Cleanliness & Housekeeping
,The staff was not taking action against people who were littering,Staff Behavior & Customer Service
,The train was stopped at a station for a very long time without any reason,Security & Rpf
,The station did not have a separate counter for senior citizens and disabled persons,Station Management & Infrastructure
,The website does not provide an option to choose a lower berth for senior citizens,Commercial & Ticketing
,The coach s door was very hard to open and close,Technical Maintenance (Coach)
,The train was delayed due to a problem with the signal,Operations & Scheduling
,The food was being cooked in a very unhygienic kitchen,Catering & Food Quality
,The coach was not cleaned and the old newspapers were still lying around,Cleanliness & Housekeeping
,The staff was not able to provide information about the next station,Staff Behavior & Customer Service
,The train was running through a very unsafe area at night without any security,Security & Rpf
,The station did not have a proper waiting area for passengers,Station Management & Infrastructure
,The website is not user friendly for people who are not tech savvy,Commercial & Ticketing
,The coach s window could not be closed properly letting in rain,Technical Maintenance (Coach)
,The train was delayed due to the late arrival of the guard,Operations & Scheduling
,The food was not properly cooked,Catering & Food Quality
,The coach was not cleaned even after a passenger spilled food,Cleanliness & Housekeeping
,The staff was not listening to the passengers complaints,Staff Behavior & Customer Service
,The train was stopped due to a bomb threat but no proper information was given,Security & Rpf
,The station did not have a proper public address system,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a pet,Commercial & Ticketing
,The coach s emergency brake was not working,Technical Maintenance (Coach)
,The train was delayed due to a landslide on the tracks,Operations & Scheduling
,The food was served without any napkins,Catering & Food Quality
,The coach was not cleaned and there were food leftovers on the seats,Cleanliness & Housekeeping
,The staff was not able to provide a complaint book when asked,Staff Behavior & Customer Service
,The train was full of ticketless travelers and the TTE was not taking any action,Security & Rpf
,The station did not have a proper taxi stand,Station Management & Infrastructure
,The website does not provide an option to book a wheelchair in advance,Commercial & Ticketing
,The coach s fire extinguisher was expired,Technical Maintenance (Coach)
,The train was delayed due to a technical problem with the engine,Operations & Scheduling
,The food was served cold and the staff refused to heat it,Catering & Food Quality
,The coach was not cleaned and the curtains were very dirty,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s route,Staff Behavior & Customer Service
,The train was stopped in a very dangerous area at night,Security & Rpf
,The station did not have a proper food court,Station Management & Infrastructure
,The website does not provide an option to choose a meal preference,Commercial & Ticketing
,The coach s water tank was leaking,Technical Maintenance (Coach)
,The train was delayed due to a problem with the overhead wire,Operations & Scheduling
,The food was served in a very small quantity for the price,Catering & Food Quality
,The coach was not cleaned and the toilet was stinking,Cleanliness & Housekeeping
,The staff was not able to provide a medical kit when needed,Staff Behavior & Customer Service
,The train was running without a proper security guard,Security & Rpf
,The station did not have a proper inquiry office,Station Management & Infrastructure
,The website does not provide an option to book a connecting train,Commercial & Ticketing
,The coach s fan was not working and it was very hot,Technical Maintenance (Coach)
,The train was delayed due to a problem with the railway track,Operations & Scheduling
,The food was not fresh and was smelling bad,Catering & Food Quality
,The coach was not cleaned and the seats were very dusty,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s delay,Staff Behavior & Customer Service
,The train was stopped in a very unsafe area at night,Security & Rpf
,The station did not have a proper waiting room for ladies,Station Management & Infrastructure
,The website does not provide an option to book a ticket for a group,Commercial & Ticketing
,The coach s lights were not working and it was very dark,Technical Maintenance (Coach)
,The train was delayed due to a problem with the brakes,Operations & Scheduling
,The food was not hygienic and was making people sick,Catering & Food Quality
,The coach was not cleaned and the floor was very dirty,Cleanliness & Housekeeping
,The staff was not able to provide information about the platform number,Staff Behavior & Customer Service
,The train was running without a proper guard,Security & Rpf
,The station did not have a proper announcement system for train arrivals,Station Management & Infrastructure
,The website does not provide an option to book a ticket with a student concession,Commercial & Ticketing
,The coach s window was broken and cold air was coming in,Technical Maintenance (Coach)
,The train was delayed due to a problem with the train s engine,Operations & Scheduling
,The food was not of good quality and was very expensive,Catering & Food Quality
,The coach was not cleaned and the washroom was very dirty,Cleanliness & Housekeeping
,The staff was not able to provide information about the train s current location,Staff Behavior & Customer Service
,The train was running without a proper security check,Security & Rpf
,The station did not have a proper waiting hall for passengers,Station Management & Infrastructure
,Train ka departure time galat bataya gaya inquiry counter pe,Staff Behavior & Customer Service
,Coach ke andar paan ke daag the saaf safai zero thi,Cleanliness & Housekeeping
,The online portal crashed while I was making a payment for my ticket,Commercial & Ticketing
,A group of boys were harassing a family and no security was available,Security & Rpf
,Platform no 4 par aane wali train platform no 7 par aayi koi announcement nahi hua,Operations & Scheduling
,Seat ka cushion phata hua tha baithne me dikkat ho rahi thi,Technical Maintenance (Coach)
,Station par pine ka saaf paani nahi mil raha tha,Station Management & Infrastructure
,Food vendor ne khane ka extra charge liya aur quality bhi bekar thi,Catering & Food Quality
,Staff ne wheelchair provide karne se mana kar diya for an elderly person,Staff Behavior & Customer Service
,The toilet was overflowing and the smell was unbearable,Cleanliness & Housekeeping
,I was unable to retrieve my password on the booking website,Commercial & Ticketing
,Suspicious unattended luggage was lying in the coach for hours,Security & Rpf
,Train was stopped for over 2 hours due to track maintenance without prior info,Operations & Scheduling
,The mirror above the wash basin was missing in the coach,Technical Maintenance (Coach)
,The food court at the station was closed during the day,Station Management & Infrastructure
,The chapatis served were hard as a rock,Catering & Food Quality
,The TTE was not wearing his badge and was rude to passengers,Staff Behavior & Customer Service
,The entire coach was stinking of smoke,Cleanliness & Housekeeping
,My reservation was cancelled by the system without any valid reason,Commercial & Ticketing
,There were people drinking and making noise in the coach at night,Security & Rpf
,Train got delayed due to a technical fault in the engine,Operations & Scheduling
,The side lower berth was broken and could not be locked into a seat,Technical Maintenance (Coach)
,The waiting room at Delhi station was too small and congested,Station Management & Infrastructure
,The biryani served had no chicken pieces in it just rice,
,The staff was not helping a blind person to find his seat,Staff Behavior & Customer Service
,The bedroll provided was wet and smelled of mildew,Cleanliness & Housekeeping
,I was charged a cancellation fee even though the train was cancelled by the railways,Commercial & Ticketing
,A vendor was selling fake branded water bottles,Security & Rpf
,The train was diverted through a longer route adding 5 hours to the journey,
,The charging port was so loose that my charger kept falling out,Technical Maintenance (Coach)
,The station did not have any indicator for coach positions,Station Management & Infrastructure
,The tea was just colored hot water no taste at all,
,The staff was not responsive to the repeated complaints about the dirty toilet,Staff Behavior & Customer Service
,The floor was not mopped and there were sticky patches everywhere,
,The website does not allow booking for more than 6 passengers at a time,Commercial & Ticketing
,The RPF personnel were seen taking money from unauthorized vendors,Security & Rpf
,The train stopped suddenly with a loud bang creating panic,
,The light above my berth was not working and I couldn t read,
,The station s escalator was not working which was difficult for my old parents,
,The food served was not properly packed and had leaked all over,Catering & Food Quality
,The staff was not able to handle a situation where a passenger fell sick,Staff Behavior & Customer Service
,The coach was not cleaned after passengers deboarded at an intermediate station,Cleanliness & Housekeeping
,The refund for a cancelled ticket has been pending for weeks,Commercial & Ticketing
,People were gambling inside the train coach,Security & Rpf
,The train was running late but the NTES app showed it was on time,
,The window curtain was torn and couldn t block the sunlight,Technical Maintenance (Coach)
,The station did not have a pre paid auto or taxi stand,Station Management & Infrastructure
,The sandwich I ordered was stale,Catering & Food Quality
,The cleaning staff was asking for tips from passengers,Staff Behavior & Customer Service
,The toilet was not cleaned and there was no water,
,The fare for children s tickets is not clearly mentioned on the website,Commercial & Ticketing
,A group of people were blocking the exit and no security staff was there to manage,
,The train was announced to be on time but it was late by 3 hours,
,The seat s upholstery was torn and dirty,Technical Maintenance (Coach)
,The station did not have a cloakroom to keep luggage,Station Management & Infrastructure
,The meal was served without any pickles or salad as mentioned in the menu,Catering & Food Quality
,The staff was not helping passengers with heavy luggage,Staff Behavior & Customer Service
,The coach was full of mosquitoes and no repellent was sprayed,
,The website is very confusing to navigate,Commercial & Ticketing
,Some people were trying to snatch bags from passengers,Security & Rpf
,The train was stopped due to some agitation on the tracks,Operations & Scheduling
,The AC was not working and the coach was like an oven,
,The station s platform was broken at several places,Station Management & Infrastructure
,The food was sold at a price higher than the MRP,Catering & Food Quality
,The staff was not polite and was shouting at passengers,Staff Behavior & Customer Service
,The bedsheets provided had yellow stains on them,Cleanliness & Housekeeping
,The website does not have a customer care number that works,Commercial & Ticketing
,Unauthorised people were sleeping on the floor of the reserved coach,Security & Rpf
,The train s timing was changed permanently without adequate notice,Operations & Scheduling
,The fan regulator was broken so the fan was always at full speed,
,The station did not have a proper place to dispose of garbage,Station Management & Infrastructure
,The coffee served was instant coffee not brewed as promised,
,The staff was not helping a woman with a baby find her seat,Staff Behavior & Customer Service
,The coach was not cleaned and there were cobwebs in the corners,
,The PNR was not confirmed even after being on the waiting list for a long time,Commercial & Ticketing
,A fight broke out and the RPF arrived very late,
,The train was late and no reason was provided by the railway authorities,
,The water tap was loose and was spraying water everywhere,Technical Maintenance (Coach)
,The station s waiting room had broken chairs,Station Management & Infrastructure
,The food was delivered to the wrong berth,Catering & Food Quality
,The staff was not able to provide a simple pen to fill a form,Staff Behavior & Customer Service
,The toilet s floor was wet and very slippery,Cleanliness & Housekeeping
,The website does not show the seat map for all coaches,Commercial & Ticketing
,A group of people were performing stunts near the train door,Security & Rpf
,The train was cancelled but the refund process is very slow,
,The armrest was missing from my seat,Technical Maintenance (Coach)
,The station did not have clear signage for the exits,Station Management & Infrastructure
,The omlette served for breakfast was burnt,Catering & Food Quality
,The staff was not providing information about connecting trains,Staff Behavior & Customer Service
,The coach was very dirty with food wrappers lying everywhere,
,The booking confirmation email was never sent to me,Commercial & Ticketing
,The security cameras at the station seemed to be fake,Security & Rpf
,The train was delayed due to a non availability of the loco pilot,Operations & Scheduling
,The side table between the seats was broken,Technical Maintenance (Coach)
,The station did not have a proper lost and found section,Station Management & Infrastructure
,The idli served was very hard and cold,Catering & Food Quality
,The staff was not helping passengers deboard the train safely,Staff Behavior & Customer Service
,The coach was not cleaned properly and there was a bad smell from the toilet,
,The website showed a direct train but it had a changeover,
,The train s emergency chain was pulled multiple times by mischievous people,Security & Rpf
,Train was supposed to be on platform 1 but it was shifted to platform 6 without any alert,
,The seat was so uncomfortable that it gave me a backache,Technical Maintenance (Coach)
,The station was very crowded and there was no one to manage the crowd,Station Management & Infrastructure
,The food was not properly covered and had flies on it,Catering & Food Quality
,The staff was not helping a pregnant lady with her luggage,Staff Behavior & Customer Service
,The coach was not cleaned properly and there were food stains on the seats,Cleanliness & Housekeeping
,The website is not secure and I am afraid to use my credit card,Commercial & Ticketing
,The train was stopped in a jungle area for more than an hour at night,Security & Rpf
,The train was late and the staff was giving false information about its arrival time,Operations & Scheduling
,The tray table was dirty and had leftover food on it,Technical Maintenance (Coach)
,The station did not have a proper medical facility,Station Management & Infrastructure
,The food was served without any salt or pepper,Catering & Food Quality
,The staff was not providing a clean bedsheet when requested,Staff Behavior & Customer Service
,The coach was not cleaned and there were cigarette butts on the floor,Cleanliness & Housekeeping
,The website is very slow and often crashes during booking,Commercial & Ticketing
,The train was stopped due to a power failure,Security & Rpf
,The train was delayed and I missed my connecting train,Operations & Scheduling
,The AC vent was dripping water on my head,Technical Maintenance (Coach)
,The station did not have a proper ramp for wheelchairs,Station Management & Infrastructure
,The food was not fresh and tasted like it was cooked yesterday,Catering & Food Quality
,The staff was not helping a senior citizen to get down from the train,Staff Behavior & Customer Service
,The coach was not cleaned and the dustbin was overflowing,Cleanliness & Housekeeping
,The website does not have a feature to save my travel preferences,Commercial & Ticketing
,The train was stopped due to a protest on the railway tracks,Security & Rpf
,The train was late and the staff was not providing any updates,Operations & Scheduling
,The charging socket was not working and I could not charge my laptop,Technical Maintenance (Coach)
,The station did not have a proper waiting area for families with children,Station Management & Infrastructure
,The food was served in a dirty plate,Catering & Food Quality
,The staff was not providing a pillow even in an AC coach,Staff Behavior & Customer Service
,The coach was not cleaned and the mirror was very dirty,Cleanliness & Housekeeping
,The website is not accessible on mobile phones,Commercial & Ticketing
,The train was stopped due to a security threat,Security & Rpf
,The train was delayed and I missed an important meeting,Operations & Scheduling
,The fan was making a lot of noise and was disturbing my sleep,Technical Maintenance (Coach)
,The station did not have a proper toilet facility for women,Station Management & Infrastructure
,The food was not cooked properly and was raw,Catering & Food Quality
,The staff was not providing a blanket even when it was very cold,Staff Behavior & Customer Service
,The coach was not cleaned and the curtains were torn,Cleanliness & Housekeeping
,The website is not available in regional languages,Commercial & Ticketing
,The train was stopped due to a fire on the tracks,Security & Rpf
,The train was late and the staff was not providing any information,Operations & Scheduling
,The window was jammed and could not be opened,Technical Maintenance (Coach)
,The station did not have a proper inquiry counter,Station Management & Infrastructure
,The food was not hygienic and was causing stomach problems,Catering & Food Quality
,The staff was not providing water even when the train was late,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were covered in dust,Cleanliness & Housekeeping
,The website does not have a customer support chat option,Commercial & Ticketing
,The train was stopped due to a bomb scare,Security & Rpf
,The train was delayed and I had to spend the night at the station,Operations & Scheduling
,The light in the washroom was not working,Technical Maintenance (Coach)
,The station did not have a proper cafeteria,Station Management & Infrastructure
,The food was not fresh and was giving a bad smell,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very smelly,Cleanliness & Housekeeping
,The website is very difficult to use for a first time user,Commercial & Ticketing
,The train was stopped due to a major accident on the tracks,Security & Rpf
,The train was late and I missed my flight,Operations & Scheduling
,The AC was not working and it was very hot and humid,Technical Maintenance (Coach)
,The station did not have a proper parking space for cars,Station Management & Infrastructure
,The food was not good and was very costly,Catering & Food Quality
,The staff was not providing a clean towel in the AC coach,Staff Behavior & Customer Service
,The coach was not cleaned and the aisle was very dirty,Cleanliness & Housekeeping
,The website does not have a proper refund policy,Commercial & Ticketing
,The train was stopped due to a security check,Security & Rpf
,The train was delayed and I reached my destination very late,Operations & Scheduling
,The fan was not working and it was very sultry,Technical Maintenance (Coach)
,The station did not have a proper drinking water facility,Station Management & Infrastructure
,The food was not tasty and was very bland,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the windows were very foggy,Cleanliness & Housekeeping
,The website does not have a proper feedback mechanism,Commercial & Ticketing
,The train was stopped due to a security alert,Security & Rpf
,The train was late and I had to cancel my hotel booking,Operations & Scheduling
,The light was not working and it was very dark in the coach,
,The station did not have a proper waiting room for second class passengers,Station Management & Infrastructure
,The food was not of good quality and was not worth the money,Catering & Food Quality
,The staff was not providing a clean blanket,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was overflowing with water,.
,The website does not have a proper privacy policy,Commercial & Ticketing
,The train was stopped due to a security reason,Security & Rpf
,The train was late and I had to wait for a very long time at the station,
,The fan was very slow and was not providing enough air,Technical Maintenance (Coach)
,The station did not have a proper lift for elderly people,Station Management & Infrastructure
,The food was not good and was not fresh,Catering & Food Quality
,The staff was not providing a clean pillow,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very uncomfortable,
,The website does not have a proper terms and conditions page,Commercial & Ticketing
,The train was stopped due to a security issue,Security & Rpf
,The train was late and I had to reschedule my work,
,The light was flickering and it was very annoying,
,The station did not have a proper escalator for passengers,Station Management & Infrastructure
,The food was not good and was very oily,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was not working properly,
,The website does not have a proper cancellation policy,Commercial & Ticketing
,The train was stopped due to a security problem,Security & Rpf
,The train was late and I missed my bus connection,
,The fan was making a strange noise and I could not sleep,
,The station did not have a proper ramp for disabled people,Station Management & Infrastructure
,The food was not good and was not hygienic,Catering & Food Quality
,Staff was unresponsive to requests for extra water bottles,Staff Behavior & Customer Service
,The liquid soap in the washroom was finished,Cleanliness & Housekeeping
,The online refund for a failed transaction has not been credited for a month,Commercial & Ticketing
,RPF personnel were not visible during the entire night journey,Security & Rpf
,The train was delayed due to engine failure but the reason was not communicated,
,The tray table was jammed and could not be opened,Technical Maintenance (Coach)
,The station s drinking water cooler was not functional,Station Management & Infrastructure
,The meal served was cold and the chapati was like rubber,Catering & Food Quality
,A staff member was seen taking a nap on passenger seats,Staff Behavior & Customer Service
,The dustbins were overflowing and the coach smelled bad,Cleanliness & Housekeeping
,The book a meal feature on the app was showing an error,Commercial & Ticketing
,The coach doors were not locked at night posing a security risk,
,The train was halted for 3 hours due to a signal problem,Operations & Scheduling
,The reading light was so dim it was useless,Technical Maintenance (Coach)
,The platform was too crowded with unauthorized hawkers,Station Management & Infrastructure
,The food was stale and caused an upset stomach,Catering & Food Quality
,The TTE did not help when another passenger was misbehaving,Staff Behavior & Customer Service
,The toilet was not cleaned at any of the major stations during the journey,Cleanliness & Housekeeping
,The fare shown at the time of booking was different from the amount charged,Commercial & Ticketing
,There was no security check before boarding the train,Security & Rpf
,The train was late and no alternative travel arrangements were offered,
,The window pane was loose and was making a lot of noise,Technical Maintenance (Coach)
,The waiting room was very hot as the fans were not working,Station Management & Infrastructure
,The quality of the food has deteriorated over the years,Catering & Food Quality
,The staff was not helping a person with a disability to board the train,Staff Behavior & Customer Service
,The coach was not cleaned and there were spider webs on the ceiling,
,The website does not have a clear policy on luggage allowance,Commercial & Ticketing
,The train was stopped in a deserted area and the doors were open,
,The train was late and the staff was very rude when asked for an update,
,The AC was leaking water on the passenger below,Technical Maintenance (Coach)
,The station did not have a proper medical room for emergencies,Station Management & Infrastructure
,The food served was not the one shown in the picture on the menu,Catering & Food Quality
,The staff was not providing a fresh pillowcase,Staff Behavior & Customer Service
,The coach was not cleaned and there was a lot of dust under the seats,
,The website does not allow booking a ticket for an unreserved coach online,Commercial & Ticketing
,The train was running without any RPF personnel on board,Security & Rpf
,The train was delayed due to a problem with the railway crossing,Operations & Scheduling
,The fan was not working and the coach was very stuffy,
,The station did not have a proper announcement system for train delays,Station Management & Infrastructure
,The food was not properly packed and was leaking,Catering & Food Quality
,The staff was not providing a dustbin bag for the coach,Staff Behavior & Customer Service
,The coach was not cleaned and the windows were very dirty,
,The website does not have a clear policy on ticket cancellation charges,Commercial & Ticketing
,The train was stopped due to a law and order problem on the tracks,Security & Rpf
,The train was late and the staff was not providing any compensation,
,The light was not working and I had to use my mobile s torch,
,The station did not have a proper retiring room for passengers,Station Management & Infrastructure
,The food was not good and was not value for money,Catering & Food Quality
,The staff was not providing a clean towel,Staff Behavior & Customer Service
,The coach was not cleaned and the curtains were very dusty,
,The website does not have a clear policy on refunds for train cancellations,Commercial & Ticketing
,The train was stopped due to a security threat on the tracks,Security & Rpf
,The train was delayed and I had to cancel my plans for the day,
,The fan was not working and it was very difficult to breathe,
,The station did not have a proper cloakroom for luggage storage,Station Management & Infrastructure
,The food was not good and was not tasty at all,Catering & Food Quality
,The staff was not providing a clean blanket cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was not working,
,The website does not have a clear policy on refunds for ticket cancellations,Commercial & Ticketing
,The train was stopped due to a security problem on the tracks,Security & Rpf
,The train was late and I missed my important appointment,
,The light was not working and it was very inconvenient,
,The station did not have a proper waiting room for passengers with kids,Station Management & Infrastructure
,The food was not good and was not fresh at all,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the seats were very dirty and sticky,
,The website does not have a clear policy on refunds for failed transactions,Commercial & Ticketing
,The train was stopped due to a security issue on the tracks,Security & Rpf
,The train was late and I had to face a lot of problems,
,The fan was not working and it was very uncomfortable to travel,
,The station did not have a proper waiting room for senior citizens,Station Management & Infrastructure
,The food was not good and was not hygienic at all,Catering & Food Quality
,The staff was not providing a clean bedsheet,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very unhygienic,
,The website does not have a clear policy on refunds for ticket downgrades,Commercial & Ticketing
,The train was stopped due to a security reason on the tracks,Security & Rpf
,The train was late and I had to suffer a lot,
,The light was not working and it was very difficult to see anything,
,The station did not have a proper waiting room for physically challenged people,Station Management & Infrastructure
,The food was not good and was not healthy at all,Catering & Food Quality
,The staff was not providing a clean bed roll,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and smelly,
,The website does not have a clear policy on refunds for waitlisted tickets,Commercial & Ticketing
,The train was stopped due to a security problem on board,Security & Rpf
,The train was late and I had to bear a huge loss,
,The fan was not working and it was very suffocating inside the coach,
,The station did not have a proper waiting room for women passengers,Station Management & Infrastructure
,The food was not good and was not properly cooked at all,Catering & Food Quality
,The staff was not providing a clean towel,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and stinky,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for RAC tickets,Commercial & Ticketing
,The train was stopped due to a security threat on board,Security & Rpf
,The train was late and I had to go through a lot of trouble,Operations & Scheduling
,The light was not working and it was very problematic for me,Technical Maintenance (Coach)
,The station did not have a proper waiting room for passengers with confirmed tickets,Station Management & Infrastructure
,The food was not good and was not fresh and tasty at all,Catering & Food Quality
,The staff was not providing a clean pillow cover,Staff Behavior & Customer Service
,The coach was not cleaned and the toilet was very dirty and unusable,Cleanliness & Housekeeping
,The website does not have a clear policy on refunds for confirmed tickets,Commercial & Ticketing
,The train was stopped due to a security issue on board,Security & Rpf
,Pantry car staff was not wearing a hairnet while cooking,Catering & Food Quality
,My waitlisted ticket did not get confirmed and the refund is still pending,Commercial & Ticketing
,A group of people were playing cards and using abusive language loudly,Security & Rpf
,The coach was not cleaned before the journey began it had leftovers from the previous trip,Cleanliness & Housekeeping
,The train was delayed by 4 hours causing me to miss a family function,Operations & Scheduling
,The magazine holder on the back of the seat was torn,Technical Maintenance (Coach)
,The station did not have clear signboards for platform numbers,Station Management & Infrastructure
,The behavior of the catering staff was very unprofessional,Staff Behavior & Customer Service
,The blanket provided was smelling very bad,Cleanliness & Housekeeping
,The TTE allotted my confirmed seat to another passenger,Commercial & Ticketing
,There was no security guard in the ladies coach at night,Security & Rpf
,The train s schedule was changed but the online portal was not updated,Operations & Scheduling
,The charging point was giving off a burning smell,Technical Maintenance (Coach)
,The waiting room was locked and no staff was available to open it,Station Management & Infrastructure
,The food served was different from what I had pre booked,Catering & Food Quality
,The staff was not helping passengers to find their coaches,Staff Behavior & Customer Service
,The dustbin in the coach was broken and could not be used,Cleanliness & Housekeeping
,The website crashed while I was trying to book a tatkal ticket,Commercial & Ticketing
,Unauthorized people were sleeping in the luggage area,Security & Rpf
,The train s arrival was announced at the wrong platform,Operations & Scheduling
,The seat was infested with bed bugs,Technical Maintenance (Coach)
,The station did not have enough benches for passengers to sit,Station Management & Infrastructure
